Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
1,-509.9999812,6.86E-05,115,16.25,350,18.75
2,-254.9999812,-214.9999314,115,16.25,350,18.75
3,-382.4999812,-107.4999314,115,16.25,350,18.75
4,-31.87498121,-403.1249314,115,16.25,350,18.75
5,-95.62498121,-134.3749314,115,16.25,350,18.75
6,-47.81248121,-255.3124314,115,16.25,350,18.75
7,-111.5624812,-94.06243143,115,16.25,350,18.75
8,-390.4687312,-396.4061814,115,16.25,350,18.75
9,-7.968731212,-288.9061814,115,16.25,350,18.75
10,-71.71873121,-20.15618143,115,16.25,350,18.75
11,-406.4062312,-167.9686814,115,16.25,350,18.75
12,-438.2812312,-248.5936814,115,16.25,350,18.75
13,-183.2812312,-33.59368143,115,16.25,350,18.75
14,-115.5468562,-366.1718064,115,16.25,350,18.75
15,-51.79685621,-204.9218064,115,16.25,350,18.75
16,-83.67185621,-70.54680643,115,16.25,350,18.75
17,-450.2343562,-379.6093064,115,16.25,350,18.75
18,-3.984356212,-3.359306429,115,16.25,350,18.75
19,-418.3593562,-298.9843064,115,16.25,350,18.75
20,-163.3593562,-83.98430643,115,16.25,350,18.75
21,-290.8593562,-191.4843064,115,16.25,350,18.75
22,-354.6093562,-352.7343064,115,16.25,350,18.75
23,-235.0781062,-157.8905564,115,16.25,350,18.75
24,-171.3281062,-426.6405564,115,16.25,350,18.75
25,-139.4531062,-23.51555643,115,16.25,350,18.75
26,-11.95310621,-346.0155564,115,16.25,350,18.75
27,-410.3906062,-10.07805643,115,16.25,350,18.75
28,-314.7656062,-90.70305643,115,16.25,350,18.75
29,-506.0156062,-144.4530564,115,16.25,350,18.75
30,-249.0234187,-72.22649393,115,16.25,350,18.75
31,-376.5234187,-179.7264939,115,16.25,350,18.75
32,-344.6484187,-260.3514939,115,16.25,350,18.75
33,-217.1484187,-367.8514939,115,16.25,350,18.75
34,-472.1484187,-152.8514939,115,16.25,350,18.75
35,-264.9609187,-300.6639939,115,16.25,350,18.75
36,-9.960918712,-85.66399393,115,16.25,350,18.75
37,-488.0859187,-58.78899393,115,16.25,350,18.75
38,-161.3671687,-347.6952439,115,16.25,350,18.75
39,-1.992168712,-428.3202439,115,16.25,350,18.75
40,-320.7421687,-374.5702439,115,16.25,350,18.75
41,-193.2421687,-267.0702439,115,16.25,350,18.75
42,-448.2421687,-52.07024393,115,16.25,350,18.75
43,-336.6796687,-146.1327439,115,16.25,350,18.75
44,-272.9296687,-414.8827439,115,16.25,350,18.75
45,-177.3046687,-119.2577439,115,16.25,350,18.75
46,-304.8046687,-11.75774393,115,16.25,350,18.75
47,-500.0390437,-344.3358689,115,16.25,350,18.75
48,-117.5390437,-236.8358689,115,16.25,350,18.75
