Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
1,-101.2265277,154.1480074,115,16.25,350,18.75
2,153.7734723,-60.85199264,115,16.25,350,18.75
3,26.27347227,46.64800736,115,16.25,350,18.75
4,376.8984723,-248.9769926,115,16.25,350,18.75
5,313.1484723,19.77300736,115,16.25,350,18.75
6,360.9609723,-101.1644926,115,16.25,350,18.75
7,297.2109723,60.08550736,115,16.25,350,18.75
8,18.30472227,-242.2582426,115,16.25,350,18.75
9,400.8047223,-134.7582426,115,16.25,350,18.75
10,337.0547223,133.9917574,115,16.25,350,18.75
11,2.367222272,-13.82074264,115,16.25,350,18.75
12,-29.50777773,-94.44574264,115,16.25,350,18.75
13,225.4922223,120.5542574,115,16.25,350,18.75
14,293.2265973,-212.0238676,115,16.25,350,18.75
15,356.9765973,-50.77386764,115,16.25,350,18.75
16,325.1015973,83.60113236,115,16.25,350,18.75
17,-41.46090273,-225.4613676,115,16.25,350,18.75
18,404.7890973,150.7886324,115,16.25,350,18.75
19,-9.585902728,-144.8363676,115,16.25,350,18.75
20,245.4140973,70.16363236,115,16.25,350,18.75
21,117.9140973,-37.33636764,115,16.25,350,18.75
22,54.16409727,-198.5863676,115,16.25,350,18.75
23,173.6953473,-3.742617645,115,16.25,350,18.75
24,237.4453473,-272.4926176,115,16.25,350,18.75
25,269.3203473,130.6323824,115,16.25,350,18.75
26,396.8203473,-191.8676176,115,16.25,350,18.75
27,-1.617152728,144.0698824,115,16.25,350,18.75
28,94.00784727,63.44488236,115,16.25,350,18.75
29,-97.24215273,9.694882355,115,16.25,350,18.75
30,159.7500348,81.92144486,115,16.25,350,18.75
31,32.25003477,-25.57855514,115,16.25,350,18.75
32,64.12503477,-106.2035551,115,16.25,350,18.75
33,191.6250348,-213.7035551,115,16.25,350,18.75
34,-63.37496523,1.296444855,115,16.25,350,18.75
35,143.8125348,-146.5160551,115,16.25,350,18.75
36,398.8125348,68.48394486,115,16.25,350,18.75
37,-79.31246523,95.35894486,115,16.25,350,18.75
38,247.4062848,-193.5473051,115,16.25,350,18.75
