loc,X1,X2,wadh_mm,col_k,grid_rank
1,214.2609,-244.6568,700.0,-4,51
2,-219.4391,655.3432,200.0,5,52
3,-23.5365,55.3432,500.0,-1,53
4,179.9834,-44.6568,700.0,-2,54
5,116.1159,555.3432,600.0,4,55
6,489.1986,-144.6568,1000.0,-3,56
7,-286.1735,-144.6568,200.0,-3,57
8,81.9348,355.3432,600.0,2,58
9,588.7217,455.3432,1100.0,3,59
10,-298.3486,355.3432,200.0,2,60
11,-15.1327,-44.6568,500.0,-2,61
12,267.4594,155.3432,800.0,0,62
13,680.4156,855.3432,900.0,7,63
14,680.2686,-544.6568,900.0,-7,64
15,610.4081,-244.6568,1100.0,-4,65
16,610.3450,555.3432,1100.0,4,66
17,568.4976,55.3432,1100.0,-1,67
18,568.4800,255.3432,1100.0,1,68
19,477.0333,355.3432,1000.0,2,69
20,588.7204,-144.6568,1100.0,-3,70
21,457.2813,755.3432,800.0,6,71
22,457.2813,-444.6568,800.0,-6,72
23,369.5754,255.3432,900.0,1,73
24,580.8567,855.3432,800.0,7,74
25,580.7079,-544.6568,800.0,-7,75
26,557.6210,655.3432,1000.0,5,76
27,557.2657,-344.6568,1000.0,-5,77
28,477.0283,-44.6568,1000.0,-2,78
29,489.1998,455.3432,1000.0,3,79
30,411.6493,-244.6568,900.0,-4,80
31,369.5929,55.3432,900.0,-1,81
32,377.7139,355.3432,900.0,2,82
33,389.9580,-144.6568,900.0,-3,83
34,291.0185,455.3432,800.0,3,84
35,411.5864,555.3432,900.0,4,85
36,655.4782,755.3432,1000.0,6,86
37,382.3621,855.3432,600.0,7,87
38,382.2140,-544.6568,600.0,-7,88
39,655.4760,-444.6568,1000.0,-6,89
40,171.7092,55.3432,700.0,-1,90
41,270.4494,255.3432,800.0,1,91
42,278.6578,-44.6568,800.0,-2,92
43,312.7848,-244.6568,800.0,-4,93
44,258.5349,-444.6568,600.0,-6,94
45,258.5295,755.3432,600.0,6,95
46,359.2979,655.3432,800.0,5,96
47,358.9454,-344.6568,800.0,-5,97
48,185.2867,855.3432,400.0,7,98
49,185.1405,-544.6568,400.0,-7,99
50,116.1776,-244.6568,600.0,-4,100
51,214.1987,555.3432,700.0,4,101
52,179.9884,355.3432,700.0,2,102
53,192.4299,455.3432,700.0,3,103
54,62.7183,755.3432,400.0,6,104
55,-2.7445,455.3432,500.0,3,105
56,73.5620,255.3432,600.0,1,106
57,163.2816,655.3432,600.0,5,107
58,162.9343,-344.6568,600.0,-5,108
59,62.7184,-444.6568,400.0,-6,109
60,18.8582,-244.6568,500.0,-4,110
61,18.7971,555.3432,500.0,4,111
62,-29.4757,655.3432,400.0,5,112
63,-98.5662,-144.6568,400.0,-3,113
64,-119.2835,55.3432,400.0,-1,114
65,-119.3001,255.3432,400.0,1,115
66,-15.1278,355.3432,500.0,2,116
67,-29.8161,-344.6568,400.0,-5,117
68,-33.5019,755.3432,300.0,6,118
69,-128.1312,-444.6568,200.0,-6,119
70,-98.5645,455.3432,400.0,3,120
71,-110.8401,-44.6568,400.0,-2,121
72,-125.1790,655.3432,300.0,5,122
73,-219.7703,-344.6568,200.0,-5,123
74,-172.0244,555.3432,300.0,4,124
75,-171.9654,-244.6568,300.0,-4,125
76,-286.1733,455.3432,200.0,3,126
77,-193.0224,-144.6568,300.0,-3,127
78,-205.2019,355.3432,300.0,2,128
79,-298.3532,-44.6568,200.0,-2,129
80,-213.6607,55.3432,300.0,-1,130
81,-213.6773,255.3432,300.0,1,131
82,-310.2512,155.3432,200.0,0,132
83,-26.9038,155.3432,500.0,0,133
84,168.6219,155.3432,700.0,0,134
85,465.9969,155.3432,1000.0,0,135
86,81.9298,-44.6568,600.0,-2,136
87,94.3878,-144.6568,600.0,-3,137
88,192.4285,-144.6568,700.0,-3,138
89,73.5793,55.3432,600.0,-1,139
90,366.6202,155.3432,900.0,0,140
91,70.3669,155.3432,600.0,0,141
92,-122.8083,155.3432,400.0,0,142
