run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
1,0,1,1,214.2609,-244.6568,669.3444,55.6794,2.0056,-0.5950,0.0000,584.8388
2,0,2,1,-219.4391,655.3432,534.7853,-78.8797,2.0056,1.6507,1.9682,448.3115
3,0,3,1,-23.5365,55.3432,632.8684,19.2034,2.0056,0.6946,0.0000,548.3628
4,0,4,1,179.9834,-44.6568,674.0653,60.4003,2.0056,-0.7711,0.0000,589.5597
5,0,5,1,116.1159,555.3432,649.8636,36.1986,2.0056,-0.1625,0.0000,565.3579
6,0,6,1,489.1986,-144.6568,714.7092,101.0442,2.0056,-1.6208,0.0000,630.2036
7,0,7,1,-286.1735,-144.6568,532.7077,-80.9573,2.0056,1.6503,2.6519,445.5502
8,0,8,1,81.9348,355.3432,654.4663,40.8013,2.0056,-0.0822,0.0000,569.9607
9,0,9,1,588.7217,455.3432,724.4534,110.7884,2.0056,-1.6904,0.0000,639.9478
10,0,10,1,-298.3486,355.3432,534.7772,-78.8878,2.0056,1.6501,2.7163,447.5553
11,0,11,1,-15.1327,-44.6568,630.4512,16.7862,2.0056,0.9164,0.0000,545.9455
12,0,12,1,267.4594,155.3432,691.7349,78.0699,2.0056,-1.3393,0.0000,607.2293
13,0,13,1,680.4156,855.3432,714.7480,101.0830,2.0056,-1.7868,0.0000,630.2424
14,0,14,1,680.2686,-544.6568,714.7103,101.0453,2.0056,-1.8029,0.0000,630.2047
15,0,15,1,610.4081,-244.6568,723.4530,109.7880,2.0056,-1.7548,0.0000,638.9474
16,0,16,1,610.3450,555.3432,723.4477,109.7827,2.0056,-1.7371,0.0000,638.9421
17,0,17,1,568.4976,55.3432,725.5597,111.8947,2.0056,-1.8641,0.0000,641.0541
18,0,18,1,568.4800,255.3432,725.5581,111.8931,2.0056,-1.8632,0.0000,641.0525
19,0,19,1,477.0333,355.3432,715.6325,101.9675,2.0056,-1.6919,0.0000,631.1269
20,0,20,1,588.7204,-144.6568,724.4533,110.7883,2.0056,-1.6912,0.0000,639.9477
21,0,21,1,457.2813,755.3432,685.3132,71.6482,2.0056,-0.8417,0.0000,600.8075
22,0,22,1,457.2813,-444.6568,685.3131,71.6481,2.0056,-0.8417,0.0000,600.8075
23,0,23,1,369.5754,255.3432,704.7385,91.0735,2.0056,-1.5130,0.0000,620.2329
24,0,24,1,580.8567,855.3432,705.3987,91.7337,2.0056,-1.7095,0.0000,620.8930
25,0,25,1,580.7079,-544.6568,705.3832,91.7182,2.0056,-1.7052,0.0000,620.8775
26,0,26,1,557.6210,655.3432,713.4521,99.7871,2.0056,-1.4439,0.0000,628.9465
27,0,27,1,557.2657,-344.6568,713.4169,99.7519,2.0056,-1.3327,0.0000,628.9113
