X1,X2,wadh_mm,col_k
185.1405,-544.6568,400.0,-7
283.4247,-544.6568,500.0,-7
382.2140,-544.6568,600.0,-7
481.3422,-544.6568,700.0,-7
580.7079,-544.6568,800.0,-7
680.2686,-544.6568,900.0,-7
779.9595,-544.6568,1000.0,-7
-128.1312,-444.6568,200.0,-6
-33.5021,-444.6568,300.0,-6
62.7184,-444.6568,400.0,-6
160.1126,-444.6568,500.0,-6
258.5349,-444.6568,600.0,-6
357.7543,-444.6568,700.0,-6
457.2813,-444.6568,800.0,-6
556.6869,-444.6568,900.0,-6
655.4760,-444.6568,1000.0,-6
-219.7703,-344.6568,200.0,-5
-125.5168,-344.6568,300.0,-5
-29.8161,-344.6568,400.0,-5
66.2616,-344.6568,500.0,-5
162.9343,-344.6568,600.0,-5
260.5862,-344.6568,700.0,-5
358.9454,-344.6568,800.0,-5
457.9314,-344.6568,900.0,-5
557.2657,-344.6568,1000.0,-5
656.8107,-344.6568,1100.0,-5
-265.2296,-244.6568,200.0,-4
-171.9654,-244.6568,300.0,-4
-77.2524,-244.6568,400.0,-4
18.8582,-244.6568,500.0,-4
116.1776,-244.6568,600.0,-4
214.2609,-244.6568,700.0,-4
312.7848,-244.6568,800.0,-4
411.6493,-244.6568,900.0,-4
510.8630,-244.6568,1000.0,-4
610.4081,-244.6568,1100.0,-4
-286.1735,-144.6568,200.0,-3
-193.0224,-144.6568,300.0,-3
-98.5662,-144.6568,400.0,-3
-2.7459,-144.6568,500.0,-3
94.3878,-144.6568,600.0,-3
192.4285,-144.6568,700.0,-3
291.0172,-144.6568,800.0,-3
389.9580,-144.6568,900.0,-3
489.1986,-144.6568,1000.0,-3
588.7204,-144.6568,1100.0,-3
-298.3532,-44.6568,200.0,-2
-205.2068,-44.6568,300.0,-2
-110.8401,-44.6568,400.0,-2
-15.1327,-44.6568,500.0,-2
81.9298,-44.6568,600.0,-2
179.9834,-44.6568,700.0,-2
278.6578,-44.6568,800.0,-2
377.7089,-44.6568,900.0,-2
477.0283,-44.6568,1000.0,-2
576.5583,-44.6568,1100.0,-2
-306.7556,55.3432,200.0,-1
-213.6607,55.3432,300.0,-1
-119.2835,55.3432,400.0,-1
-23.5365,55.3432,500.0,-1
73.5793,55.3432,600.0,-1
171.7092,55.3432,700.0,-1
270.4669,55.3432,800.0,-1
369.5929,55.3432,900.0,-1
468.9599,55.3432,1000.0,-1
568.4976,55.3432,1100.0,-1
-310.2512,155.3432,200.0,0
-217.2723,155.3432,300.0,0
-122.8083,155.3432,400.0,0
-26.9038,155.3432,500.0,0
70.3669,155.3432,600.0,0
168.6219,155.3432,700.0,0
267.4594,155.3432,800.0,0
366.6202,155.3432,900.0,0
465.9969,155.3432,1000.0,0
565.5359,155.3432,1100.0,0
-306.7720,255.3432,200.0,1
-213.6773,255.3432,300.0,1
-119.3001,255.3432,400.0,1
-23.5537,255.3432,500.0,1
73.5620,255.3432,600.0,1
171.6919,255.3432,700.0,1
270.4494,255.3432,800.0,1
369.5754,255.3432,900.0,1
468.9423,255.3432,1000.0,1
568.4800,255.3432,1100.0,1
-298.3486,355.3432,200.0,2
-205.2019,355.3432,300.0,2
-110.8354,355.3432,400.0,2
-15.1278,355.3432,500.0,2
81.9348,355.3432,600.0,2
179.9884,355.3432,700.0,2
278.6628,355.3432,800.0,2
377.7139,355.3432,900.0,2
477.0333,355.3432,1000.0,2
576.5633,355.3432,1100.0,2
-286.1733,455.3432,200.0,3
-193.0211,455.3432,300.0,3
-98.5645,455.3432,400.0,3
-2.7445,455.3432,500.0,3
94.3893,455.3432,600.0,3
192.4299,455.3432,700.0,3
291.0185,455.3432,800.0,3
389.9592,455.3432,900.0,3
489.1998,455.3432,1000.0,3
588.7217,455.3432,1100.0,3
-265.2894,555.3432,200.0,4
-172.0244,555.3432,300.0,4
-77.3130,555.3432,400.0,4
18.7971,555.3432,500.0,4
116.1159,555.3432,600.0,4
214.1987,555.3432,700.0,4
312.7224,555.3432,800.0,4
411.5864,555.3432,900.0,4
510.8000,555.3432,1000.0,4
610.3450,555.3432,1100.0,4
-219.4391,655.3432,200.0,5
-125.1790,655.3432,300.0,5
-29.4757,655.3432,400.0,5
66.6051,655.3432,500.0,5
163.2816,655.3432,600.0,5
260.9358,655.3432,700.0,5
359.2979,655.3432,800.0,5
458.2863,655.3432,900.0,5
557.6210,655.3432,1000.0,5
657.1662,655.3432,1100.0,5
-128.1311,755.3432,200.0,6
-33.5019,755.3432,300.0,6
62.7183,755.3432,400.0,6
160.1135,755.3432,500.0,6
258.5295,755.3432,600.0,6
357.7544,755.3432,700.0,6
457.2813,755.3432,800.0,6
556.6876,755.3432,900.0,6
655.4782,755.3432,1000.0,6
185.2867,855.3432,400.0,7
283.5723,855.3432,500.0,7
382.3621,855.3432,600.0,7
481.4907,855.3432,700.0,7
580.8567,855.3432,800.0,7
680.4156,855.3432,900.0,7
780.1084,855.3432,1000.0,7
