loc,X1,X2,wadh_mm,col_k
1,780.1084,855.3432,1000.0,7
2,779.9595,-544.6568,1000.0,-7
3,160.1135,755.3432,500.0,6
4,-265.2894,555.3432,200.0,4
5,283.4247,-544.6568,500.0,-7
6,-265.2296,-244.6568,200.0,-4
7,510.8000,555.3432,1000.0,4
8,510.8630,-244.6568,1000.0,-4
9,94.3893,455.3432,600.0,3
10,-33.5021,-444.6568,300.0,-6
11,481.4907,855.3432,700.0,7
12,-128.1311,755.3432,200.0,6
13,-306.7720,255.3432,200.0,1
14,576.5633,355.3432,1100.0,2
15,576.5583,-44.6568,1100.0,-2
16,278.6628,355.3432,800.0,2
17,-205.2068,-44.6568,300.0,-2
18,556.6869,-444.6568,900.0,-6
19,260.5862,-344.6568,700.0,-5
20,-110.8354,355.3432,400.0,2
21,377.7089,-44.6568,900.0,-2
22,312.7224,555.3432,800.0,4
23,-77.2524,-244.6568,400.0,-4
24,-77.3130,555.3432,400.0,4
25,657.1662,655.3432,1100.0,5
26,565.5359,155.3432,1100.0,0
27,357.7544,755.3432,700.0,6
28,270.4669,55.3432,800.0,-1
29,-306.7556,55.3432,200.0,-1
30,160.1126,-444.6568,500.0,-6
31,656.8107,-344.6568,1100.0,-5
32,66.2616,-344.6568,500.0,-5
33,66.6051,655.3432,500.0,5
34,291.0172,-144.6568,800.0,-3
35,171.6919,255.3432,700.0,1
36,389.9592,455.3432,900.0,3
37,-23.5537,255.3432,500.0,1
38,481.3422,-544.6568,700.0,-7
39,556.6876,755.3432,900.0,6
40,-2.7459,-144.6568,500.0,-3
41,357.7543,-444.6568,700.0,-6
42,283.5723,855.3432,500.0,7
43,-193.0211,455.3432,300.0,3
44,468.9423,255.3432,1000.0,1
45,-217.2723,155.3432,300.0,0
46,468.9599,55.3432,1000.0,-1
47,457.9314,-344.6568,900.0,-5
48,458.2863,655.3432,900.0,5
49,260.9358,655.3432,700.0,5
50,-125.5168,-344.6568,300.0,-5
