loc,X1,X2,wadh_mm,col_k
1,780.1084,855.3432,1000.0,7
2,779.9595,-544.6568,1000.0,-7
3,160.1135,755.3432,500.0,6
4,-265.2894,555.3432,200.0,4
5,283.4247,-544.6568,500.0,-7
6,-265.2296,-244.6568,200.0,-4
7,510.8000,555.3432,1000.0,4
8,510.8630,-244.6568,1000.0,-4
9,94.3893,455.3432,600.0,3
10,-33.5021,-444.6568,300.0,-6
11,481.4907,855.3432,700.0,7
12,-128.1311,755.3432,200.0,6
13,-306.7720,255.3432,200.0,1
14,576.5633,355.3432,1100.0,2
15,576.5583,-44.6568,1100.0,-2
16,278.6628,355.3432,800.0,2
17,-205.2068,-44.6568,300.0,-2
18,556.6869,-444.6568,900.0,-6
19,260.5862,-344.6568,700.0,-5
20,-110.8354,355.3432,400.0,2
21,377.7089,-44.6568,900.0,-2
22,312.7224,555.3432,800.0,4
23,-77.2524,-244.6568,400.0,-4
24,-77.3130,555.3432,400.0,4
25,657.1662,655.3432,1100.0,5
26,565.5359,155.3432,1100.0,0
27,357.7544,755.3432,700.0,6
28,270.4669,55.3432,800.0,-1
29,-306.7556,55.3432,200.0,-1
30,160.1126,-444.6568,500.0,-6
31,656.8107,-344.6568,1100.0,-5
32,66.2616,-344.6568,500.0,-5
33,66.6051,655.3432,500.0,5
34,291.0172,-144.6568,800.0,-3
35,171.6919,255.3432,700.0,1
36,389.9592,455.3432,900.0,3
37,-23.5537,255.3432,500.0,1
38,481.3422,-544.6568,700.0,-7
39,556.6876,755.3432,900.0,6
40,-2.7459,-144.6568,500.0,-3
41,357.7543,-444.6568,700.0,-6
42,283.5723,855.3432,500.0,7
43,-193.0211,455.3432,300.0,3
44,468.9423,255.3432,1000.0,1
45,-217.2723,155.3432,300.0,0
46,468.9599,55.3432,1000.0,-1
47,457.9314,-344.6568,900.0,-5
48,458.2863,655.3432,900.0,5
49,260.9358,655.3432,700.0,5
50,-125.5168,-344.6568,300.0,-5
51,214.2609,-244.6568,700.0,-4
52,-219.4391,655.3432,200.0,5
53,-23.5365,55.3432,500.0,-1
54,179.9834,-44.6568,700.0,-2
55,116.1159,555.3432,600.0,4
56,489.1986,-144.6568,1000.0,-3
57,-286.1735,-144.6568,200.0,-3
58,81.9348,355.3432,600.0,2
59,588.7217,455.3432,1100.0,3
60,-298.3486,355.3432,200.0,2
61,-15.1327,-44.6568,500.0,-2
62,267.4594,155.3432,800.0,0
63,680.4156,855.3432,900.0,7
64,680.2686,-544.6568,900.0,-7
65,610.4081,-244.6568,1100.0,-4
66,610.3450,555.3432,1100.0,4
67,568.4976,55.3432,1100.0,-1
68,568.4800,255.3432,1100.0,1
69,477.0333,355.3432,1000.0,2
70,588.7204,-144.6568,1100.0,-3
71,457.2813,755.3432,800.0,6
72,457.2813,-444.6568,800.0,-6
73,369.5754,255.3432,900.0,1
74,580.8567,855.3432,800.0,7
75,580.7079,-544.6568,800.0,-7
76,557.6210,655.3432,1000.0,5
77,557.2657,-344.6568,1000.0,-5
78,477.0283,-44.6568,1000.0,-2
79,489.1998,455.3432,1000.0,3
80,411.6493,-244.6568,900.0,-4
81,369.5929,55.3432,900.0,-1
82,377.7139,355.3432,900.0,2
83,389.9580,-144.6568,900.0,-3
84,291.0185,455.3432,800.0,3
85,411.5864,555.3432,900.0,4
86,655.4782,755.3432,1000.0,6
87,382.3621,855.3432,600.0,7
88,382.2140,-544.6568,600.0,-7
89,655.4760,-444.6568,1000.0,-6
90,171.7092,55.3432,700.0,-1
91,270.4494,255.3432,800.0,1
92,278.6578,-44.6568,800.0,-2
93,312.7848,-244.6568,800.0,-4
94,258.5349,-444.6568,600.0,-6
95,258.5295,755.3432,600.0,6
96,359.2979,655.3432,800.0,5
97,358.9454,-344.6568,800.0,-5
98,185.2867,855.3432,400.0,7
99,185.1405,-544.6568,400.0,-7
100,116.1776,-244.6568,600.0,-4
101,214.1987,555.3432,700.0,4
102,179.9884,355.3432,700.0,2
103,192.4299,455.3432,700.0,3
104,62.7183,755.3432,400.0,6
105,-2.7445,455.3432,500.0,3
106,73.5620,255.3432,600.0,1
107,163.2816,655.3432,600.0,5
108,162.9343,-344.6568,600.0,-5
109,62.7184,-444.6568,400.0,-6
110,18.8582,-244.6568,500.0,-4
111,18.7971,555.3432,500.0,4
112,-29.4757,655.3432,400.0,5
113,-98.5662,-144.6568,400.0,-3
114,-119.2835,55.3432,400.0,-1
115,-119.3001,255.3432,400.0,1
116,-15.1278,355.3432,500.0,2
117,-29.8161,-344.6568,400.0,-5
118,-33.5019,755.3432,300.0,6
119,-128.1312,-444.6568,200.0,-6
120,-98.5645,455.3432,400.0,3
121,-110.8401,-44.6568,400.0,-2
122,-125.1790,655.3432,300.0,5
123,-219.7703,-344.6568,200.0,-5
124,-172.0244,555.3432,300.0,4
125,-171.9654,-244.6568,300.0,-4
126,-286.1733,455.3432,200.0,3
127,-193.0224,-144.6568,300.0,-3
128,-205.2019,355.3432,300.0,2
129,-298.3532,-44.6568,200.0,-2
130,-213.6607,55.3432,300.0,-1
131,-213.6773,255.3432,300.0,1
132,-310.2512,155.3432,200.0,0
133,-26.9038,155.3432,500.0,0
134,168.6219,155.3432,700.0,0
135,465.9969,155.3432,1000.0,0
136,81.9298,-44.6568,600.0,-2
137,94.3878,-144.6568,600.0,-3
138,192.4285,-144.6568,700.0,-3
139,73.5793,55.3432,600.0,-1
140,366.6202,155.3432,900.0,0
141,70.3669,155.3432,600.0,0
142,-122.8083,155.3432,400.0,0
