run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
1,0,1,1,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
2,0,2,1,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
3,0,3,1,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
4,0,4,1,-265.2894,555.3432,533.9590,-79.7060,2.0056,1.6501,2.7664,446.6869
5,0,5,1,283.4247,-544.6568,665.4919,51.8269,2.0056,-0.7811,0.0000,580.9863
6,0,6,1,-265.2296,-244.6568,533.9465,-79.7185,2.0056,1.6509,2.7339,446.7070
7,0,7,1,510.8000,555.3432,713.9460,100.2810,2.0056,-1.5164,0.0000,629.4404
8,0,8,1,510.8630,-244.6568,713.9525,100.2875,2.0056,-1.5389,0.0000,629.4469
9,0,9,1,94.3893,455.3432,651.5279,37.8629,2.0056,-0.0261,0.0000,567.0223
10,0,10,1,-33.5021,-444.6568,595.7718,-17.8932,2.0056,1.5817,0.0000,511.2662
11,0,11,1,481.4907,855.3432,694.1675,80.5025,2.0056,-1.5248,0.0000,609.6619
12,0,12,1,-128.1311,755.3432,565.0968,-48.5682,2.0056,1.6502,1.6090,478.9822
13,0,13,1,-306.7720,255.3432,537.0431,-76.6219,2.0056,1.6502,2.5408,449.9967
14,0,14,1,576.5633,355.3432,725.3049,111.6399,2.0056,-1.7397,0.0000,640.7993
15,0,15,1,576.5583,-44.6568,725.3044,111.6394,2.0056,-1.7381,0.0000,640.7988
16,0,16,1,278.6628,355.3432,690.2729,76.6079,2.0056,-1.0443,0.0000,605.7672
17,0,17,1,-205.2068,-44.6568,569.9969,-43.6681,2.0056,1.6508,1.5666,483.9247
18,0,18,1,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
19,0,19,1,260.5862,-344.6568,669.7750,56.1100,2.0056,1.1642,0.0000,585.2694
20,0,20,1,-110.8354,355.3432,601.9975,-11.6675,2.0056,1.6508,0.4950,516.9969
21,0,21,1,377.7089,-44.6568,704.0001,90.3351,2.0056,-1.3514,0.0000,619.4945
22,0,22,1,312.7224,555.3432,686.4424,72.7774,2.0056,-1.0792,0.0000,601.9368
23,0,23,1,-77.2524,-244.6568,599.4379,-14.2271,2.0056,1.6501,0.1049,514.8274
24,0,24,1,-77.3130,555.3432,599.3848,-14.2802,2.0056,1.6502,0.0705,514.8087
25,0,25,1,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
26,0,26,1,565.5359,155.3432,725.3718,111.7068,2.0056,-1.6729,0.0000,640.8661
27,0,27,1,357.7544,755.3432,675.6093,61.9443,2.0056,-0.7090,0.0000,591.1036
28,0,28,1,270.4669,55.3432,691.5633,77.8983,2.0056,-1.1981,0.0000,607.0577
29,0,29,1,-306.7556,55.3432,537.0754,-76.5896,2.0056,1.6502,2.5664,450.0034
30,0,30,1,160.1126,-444.6568,645.6116,31.9466,2.0056,-0.3600,0.0000,561.1059
31,0,31,1,656.8107,-344.6568,722.9409,109.2759,2.0056,-1.5690,0.0000,638.4353
32,0,32,1,66.2616,-344.6568,626.1068,12.4418,2.0056,1.6503,3.3946,538.2066
33,0,33,1,66.6051,655.3432,626.2189,12.5539,2.0056,1.6503,3.4094,538.3038
34,0,34,1,291.0172,-144.6568,687.9254,74.2604,2.0056,-1.0005,0.0000,603.4198
35,0,35,1,171.6919,255.3432,675.8705,62.2055,2.0056,-0.7921,0.0000,591.3648
36,0,36,1,389.9592,455.3432,702.4287,88.7637,2.0056,-1.4117,0.0000,617.9230
37,0,37,1,-23.5537,255.3432,632.8642,19.1992,2.0056,0.6783,0.0000,548.3586
38,0,38,1,481.3422,-544.6568,694.1494,80.4844,2.0056,-1.5308,0.0000,609.6437
39,0,39,1,556.6876,755.3432,696.0364,82.3714,2.0056,0.8348,0.0000,611.5308
40,0,40,1,-2.7459,-144.6568,627.7982,14.1332,2.0056,0.9576,0.0000,543.2926
41,0,41,1,357.7543,-444.6568,675.6092,61.9442,2.0056,-0.7091,0.0000,591.1036
42,0,42,1,283.5723,855.3432,665.5166,51.8516,2.0056,-0.9840,0.0000,581.0110
43,0,43,1,-193.0211,455.3432,567.9550,-45.7100,2.0056,1.6501,1.5423,481.9070
44,0,44,1,468.9423,255.3432,715.9602,102.2952,2.0056,-1.7589,0.0000,631.4546
45,0,45,1,-217.2723,155.3432,575.3034,-38.3616,2.0056,1.6502,1.5384,489.2593
46,0,46,1,468.9599,55.3432,715.9621,102.2971,2.0056,-1.7614,0.0000,631.4564
47,0,47,1,457.9314,-344.6568,701.9258,88.2608,2.0056,-0.9385,0.0000,617.4202
48,0,48,1,458.2863,655.3432,701.9652,88.3002,2.0056,-1.1187,0.0000,617.4596
49,0,49,1,260.9358,655.3432,669.8476,56.1826,2.0056,1.1726,0.0000,585.3420
50,0,50,1,-125.5168,-344.6568,566.6832,-46.9818,2.0056,1.6501,0.6332,481.5444
51,1,1,6,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
52,1,2,6,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
53,1,3,6,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
54,1,4,6,-265.2894,555.3432,533.9590,-79.7060,2.0056,1.6501,2.7664,446.6869
