X1,X2,X3
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,652.9285
144.7636,-145.321,660.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,652.9285
144.7636,-145.321,660.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,654.9285
144.7636,-145.321,662.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,660.9285
144.7636,-145.321,671.0507
-100.275,155.3432,613.665
104.9198,143.5854,664.9361
405.7401,151.9838,709.2327
73.04483,9.210356,660.9285
144.7636,-145.321,671.0507
