run,n_total_nodes,n_hood_nodes,n_tris,n_quads,fp,xmin,xmax,ymin,ymax,zmin,zmax,imp_x1,imp_x2,imp_x3,design_geom,loc_id
1,38977,37979,394,36734,8a23f00c3320,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425536268,696.1647269026209,-100.275,155.3432,613.665,0,0
2,38977,37979,394,36734,5c5947ca4ac1,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425536268,747.435826902621,104.9198,143.5854,664.9361,1,1
3,38977,37979,394,36734,98bf2e8515d2,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425536268,791.732426902621,405.7401,151.9838,709.2327,2,2
4,38977,37979,394,36734,8a51c48c4b43,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425536268,737.428226902621,73.04483,9.210356,654.9285,3,3
5,38977,37979,394,36734,6ee26b987cc6,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425536268,744.550426902621,144.7636,-145.321,662.0507,4,4
6,38977,37979,394,36734,09377d9e47d5,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,5,0
7,38977,37979,394,36734,46c4c7007fba,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,6,1
8,38977,37979,394,36734,f5fd4d9ed58d,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,7,2
9,38977,37979,394,36734,f067fb67bf26,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,8,3
10,38977,37979,394,36734,b0fedb3b4c8a,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,9,4
11,38977,37979,394,36734,842aaff993a3,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,10,0
12,38977,37979,394,36734,350687e9ed5e,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,11,1
13,38977,37979,394,36734,4680f07924cb,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,12,2
14,38977,37979,394,36734,f960a08a5021,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,13,3
15,38977,37979,394,36734,97ca72cdcf8d,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,14,4
16,38977,37979,394,36734,6d3760a799be,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,15,0
17,38977,37979,394,36734,d65c6cfb9edc,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,16,1
18,38977,37979,394,36734,53c4b489fbae,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,17,2
19,38977,37979,394,36734,4e011cf7ba1f,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,18,3
20,38977,37979,394,36734,3f4475c77b4c,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,19,4
21,38977,37979,394,36734,47d750d9917d,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,20,0
22,38977,37979,394,36734,e00706b568c2,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,21,1
23,38977,37979,394,36734,f11e111b2a2a,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,22,2
24,38977,37979,394,36734,a01a6d4f8bd5,-493.095001,973.782806,-683.678331,994.365758,323.759426,735.428227,73.04483,9.210356,652.9285,23,3
25,38977,37979,394,36734,c36ff1639650,-493.095001,973.782806,-683.678331,994.365758,323.759426,742.550427,144.7636,-145.321,660.0507,24,4
26,38977,37979,394,36734,ae7087d752c4,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,25,0
27,38977,37979,394,36734,0cb62170ba19,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,26,1
28,38977,37979,394,36734,df8dd694051b,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,27,2
29,38977,37979,394,36734,371cf61d6cc7,-493.095001,973.782806,-683.678331,994.365758,323.759426,735.428227,73.04483,9.210356,652.9285,28,3
30,38977,37979,394,36734,1b7383ddb101,-493.095001,973.782806,-683.678331,994.365758,323.759426,742.550427,144.7636,-145.321,660.0507,29,4
31,40057,39059,423,37815,bb0ac8116d79,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425651338,696.164726905342,-100.275,155.3432,613.665,30,0
32,40057,39059,423,37815,dbaa63d3f8b4,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425651338,747.4358269053421,104.9198,143.5854,664.9361,31,1
33,40057,39059,423,37815,d0d30ee324e1,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425651338,791.7324269053421,405.7401,151.9838,709.2327,32,2
34,40057,39059,423,37815,10aaa88a825d,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425651338,737.4282269053421,73.04483,9.210356,654.9285,33,3
35,40057,39059,423,37815,d8fd73cf15d3,-493.095001476587,973.782805677294,-683.678331024057,994.365758449753,323.759425651338,744.5504269053421,144.7636,-145.321,662.0507,34,4
36,40057,39059,423,37815,16903c14fcca,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,35,0
37,40057,39059,423,37815,af132ec3d729,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,36,1
38,40057,39059,423,37815,ea43600c4985,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,37,2
39,40057,39059,423,37815,1ad75a1261af,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,38,3
40,40057,39059,423,37815,7057fc985a33,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,39,4
41,40057,39059,423,37815,c1d7c87441c1,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,40,0
42,40057,39059,423,37815,59ffc531ed74,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,41,1
43,40057,39059,423,37815,74b696f07822,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,42,2
44,40057,39059,423,37815,af2994bb14f1,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,43,3
45,40057,39059,423,37815,8d692f3d4de5,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,44,4
46,40057,39059,423,37815,1177589d7ca6,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,45,0
47,40057,39059,423,37815,5c1b684572e8,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,46,1
48,40057,39059,423,37815,9f051c15ed51,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,47,2
49,40057,39059,423,37815,59a194d52c87,-493.095001,973.782806,-683.678331,994.365758,323.759426,737.428227,73.04483,9.210356,654.9285,48,3
50,40057,39059,423,37815,d363c3998075,-493.095001,973.782806,-683.678331,994.365758,323.759426,744.550427,144.7636,-145.321,662.0507,49,4
51,40057,39059,423,37815,82889022f671,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,50,0
52,40057,39059,423,37815,eb2ec5495543,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,51,1
53,40057,39059,423,37815,ccdcf1588f6c,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,52,2
54,40057,39059,423,37815,fdf81a4fc7fe,-493.095001,973.782806,-683.678331,994.365758,323.759426,743.428227,73.04483,9.210356,660.9285,53,3
55,40057,39059,423,37815,8dd6dc92b19d,-493.095001,973.782806,-683.678331,994.365758,323.759426,753.550427,144.7636,-145.321,671.0507,54,4
56,40057,39059,423,37815,c03e867cf11e,-493.095001,973.782806,-683.678331,994.365758,323.759426,696.164727,-100.275,155.3432,613.665,55,0
57,40057,39059,423,37815,1fefa033e660,-493.095001,973.782806,-683.678331,994.365758,323.759426,747.435827,104.9198,143.5854,664.9361,56,1
58,40057,39059,423,37815,849f64017a77,-493.095001,973.782806,-683.678331,994.365758,323.759426,791.732427,405.7401,151.9838,709.2327,57,2
59,40057,39059,423,37815,7aec7c78b552,-493.095001,973.782806,-683.678331,994.365758,323.759426,743.428227,73.04483,9.210356,660.9285,58,3
60,40057,39059,423,37815,7bba89af1aed,-493.095001,973.782806,-683.678331,994.365758,323.759426,753.550427,144.7636,-145.321,671.0507,59,4
