synthetic_run,variant,jitter_mm,design,location,band,source_run,pair_run,design_difference_rms_g,moved_nodes,held_nodes,seed
1,control,0.0,4,128,high,696,838,29.41560402208417,0,286,0
2,jitter_0.001,0.001,4,128,high,696,838,29.41560402208417,38691,286,0
3,jitter_0.1,0.1,4,128,high,696,838,29.41560402208417,38691,286,0
4,control,0.0,4,127,high,695,837,22.815886326689366,0,286,0
5,jitter_0.001,0.001,4,127,high,695,837,22.815886326689366,38691,286,0
6,jitter_0.1,0.1,4,127,high,695,837,22.815886326689366,38691,286,0
7,control,0.0,4,115,high,683,825,22.517979185825887,0,286,0
8,jitter_0.001,0.001,4,115,high,683,825,22.517979185825887,38691,286,0
9,jitter_0.1,0.1,4,115,high,683,825,22.517979185825887,38691,286,0
10,control,0.0,4,104,high,672,814,22.400658471573838,0,286,0
11,jitter_0.001,0.001,4,104,high,672,814,22.400658471573838,38691,286,0
12,jitter_0.1,0.1,4,104,high,672,814,22.400658471573838,38691,286,0
13,control,0.0,4,109,high,677,819,22.326501572048535,0,286,0
14,jitter_0.001,0.001,4,109,high,677,819,22.326501572048535,38691,286,0
15,jitter_0.1,0.1,4,109,high,677,819,22.326501572048535,38691,286,0
16,control,0.0,4,9,high,577,719,21.40676192100139,0,286,0
17,jitter_0.001,0.001,4,9,high,577,719,21.40676192100139,38691,286,0
18,jitter_0.1,0.1,4,9,high,577,719,21.40676192100139,38691,286,0
19,control,0.0,4,137,high,705,847,21.001300391716445,0,286,0
20,jitter_0.001,0.001,4,137,high,705,847,21.001300391716445,38691,286,0
21,jitter_0.1,0.1,4,137,high,705,847,21.001300391716445,38691,286,0
22,control,0.0,4,135,high,703,845,20.881036985847015,0,286,0
23,jitter_0.001,0.001,4,135,high,703,845,20.881036985847015,38691,286,0
24,jitter_0.1,0.1,4,135,high,703,845,20.881036985847015,38691,286,0
25,control,0.0,4,88,low,656,798,0.4730577849187622,0,286,0
26,jitter_0.001,0.001,4,88,low,656,798,0.4730577849187622,38691,286,0
27,jitter_0.1,0.1,4,88,low,656,798,0.4730577849187622,38691,286,0
28,control,0.0,4,87,low,655,797,0.4313109700608068,0,286,0
29,jitter_0.001,0.001,4,87,low,655,797,0.4313109700608068,38691,286,0
30,jitter_0.1,0.1,4,87,low,655,797,0.4313109700608068,38691,286,0
