Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
1,-101.2265277,154.1480074,115.0,16.25,350.0,18.75
2,153.7734723,-60.85199264,115.0,16.25,350.0,18.75
3,26.27347227,46.64800736,115.0,16.25,350.0,18.75
4,376.8984723,-248.9769926,115.0,16.25,350.0,18.75
5,313.1484723,19.77300736,115.0,16.25,350.0,18.75
6,360.9609723,-101.1644926,115.0,16.25,350.0,18.75
7,297.2109723,60.08550736,115.0,16.25,350.0,18.75
8,18.30472227,-242.2582426,115.0,16.25,350.0,18.75
9,400.8047223,-134.7582426,115.0,16.25,350.0,18.75
10,337.0547223,133.9917574,115.0,16.25,350.0,18.75
11,2.367222272,-13.82074264,115.0,16.25,350.0,18.75
12,-29.50777773,-94.44574264,115.0,16.25,350.0,18.75
13,225.4922223,120.5542574,115.0,16.25,350.0,18.75
14,293.2265973,-212.0238676,115.0,16.25,350.0,18.75
15,356.9765973,-50.77386764,115.0,16.25,350.0,18.75
16,325.1015973,83.60113236,115.0,16.25,350.0,18.75
17,-41.46090273,-225.4613676,115.0,16.25,350.0,18.75
18,404.7890973,150.7886324,115.0,16.25,350.0,18.75
19,-9.585902728,-144.8363676,115.0,16.25,350.0,18.75
20,245.4140973,70.16363236,115.0,16.25,350.0,18.75
21,117.9140973,-37.33636764,115.0,16.25,350.0,18.75
22,54.16409727,-198.5863676,115.0,16.25,350.0,18.75
23,173.6953473,-3.742617645,115.0,16.25,350.0,18.75
24,237.4453473,-272.4926176,115.0,16.25,350.0,18.75
25,269.3203473,130.6323824,115.0,16.25,350.0,18.75
26,396.8203473,-191.8676176,115.0,16.25,350.0,18.75
27,-1.617152728,144.0698824,115.0,16.25,350.0,18.75
28,94.00784727,63.44488236,115.0,16.25,350.0,18.75
29,-97.24215273,9.694882355,115.0,16.25,350.0,18.75
30,159.7500348,81.92144486,115.0,16.25,350.0,18.75
31,32.25003477,-25.57855514,115.0,16.25,350.0,18.75
32,64.12503477,-106.2035551,115.0,16.25,350.0,18.75
33,191.6250348,-213.7035551,115.0,16.25,350.0,18.75
34,-63.37496523,1.296444855,115.0,16.25,350.0,18.75
35,143.8125348,-146.5160551,115.0,16.25,350.0,18.75
36,398.8125348,68.48394486,115.0,16.25,350.0,18.75
37,-79.31246523,95.35894486,115.0,16.25,350.0,18.75
38,247.4062848,-193.5473051,115.0,16.25,350.0,18.75
39,406.7812848,-274.1723051,115.0,16.25,350.0,18.75
40,88.03128477,-220.4223051,115.0,16.25,350.0,18.75
41,215.5312848,-112.9223051,115.0,16.25,350.0,18.75
42,-39.46871523,102.0776949,115.0,16.25,350.0,18.75
43,72.09378477,8.015194855,115.0,16.25,350.0,18.75
44,135.8437848,-260.7348051,115.0,16.25,350.0,18.75
45,231.4687848,34.89019486,115.0,16.25,350.0,18.75
46,103.9687848,142.3901949,115.0,16.25,350.0,18.75
47,-91.26559023,-190.1879301,115.0,16.25,350.0,18.75
48,291.2344098,-82.68793014,115.0,16.25,350.0,18.75
49,327.8408551,-152.6049223,115.0,16.25,350.0,18.75
50,-90.51851992,-135.8080473,115.0,16.25,350.0,18.75
51,-101.2265277,154.1480074,101.5625,11.328125,353.125,37.890625
52,153.7734723,-60.85199264,101.5625,11.328125,353.125,37.890625
53,26.27347227,46.64800736,101.5625,11.328125,353.125,37.890625
54,376.8984723,-248.9769926,101.5625,11.328125,353.125,37.890625
55,313.1484723,19.77300736,101.5625,11.328125,353.125,37.890625
56,360.9609723,-101.1644926,101.5625,11.328125,353.125,37.890625
57,297.2109723,60.08550736,101.5625,11.328125,353.125,37.890625
58,18.30472227,-242.2582426,101.5625,11.328125,353.125,37.890625
59,400.8047223,-134.7582426,101.5625,11.328125,353.125,37.890625
60,337.0547223,133.9917574,101.5625,11.328125,353.125,37.890625
61,2.367222272,-13.82074264,101.5625,11.328125,353.125,37.890625
62,-29.50777773,-94.44574264,101.5625,11.328125,353.125,37.890625
63,225.4922223,120.5542574,101.5625,11.328125,353.125,37.890625
64,293.2265973,-212.0238676,101.5625,11.328125,353.125,37.890625
65,356.9765973,-50.77386764,101.5625,11.328125,353.125,37.890625
66,325.1015973,83.60113236,101.5625,11.328125,353.125,37.890625
67,-41.46090273,-225.4613676,101.5625,11.328125,353.125,37.890625
68,404.7890973,150.7886324,101.5625,11.328125,353.125,37.890625
69,-9.585902728,-144.8363676,101.5625,11.328125,353.125,37.890625
70,245.4140973,70.16363236,101.5625,11.328125,353.125,37.890625
71,117.9140973,-37.33636764,101.5625,11.328125,353.125,37.890625
72,54.16409727,-198.5863676,101.5625,11.328125,353.125,37.890625
73,173.6953473,-3.742617645,101.5625,11.328125,353.125,37.890625
74,237.4453473,-272.4926176,101.5625,11.328125,353.125,37.890625
75,269.3203473,130.6323824,101.5625,11.328125,353.125,37.890625
76,396.8203473,-191.8676176,101.5625,11.328125,353.125,37.890625
77,-1.617152728,144.0698824,101.5625,11.328125,353.125,37.890625
78,94.00784727,63.44488236,101.5625,11.328125,353.125,37.890625
79,-97.24215273,9.694882355,101.5625,11.328125,353.125,37.890625
80,159.7500348,81.92144486,101.5625,11.328125,353.125,37.890625
81,32.25003477,-25.57855514,101.5625,11.328125,353.125,37.890625
82,64.12503477,-106.2035551,101.5625,11.328125,353.125,37.890625
83,191.6250348,-213.7035551,101.5625,11.328125,353.125,37.890625
84,-63.37496523,1.296444855,101.5625,11.328125,353.125,37.890625
85,143.8125348,-146.5160551,101.5625,11.328125,353.125,37.890625
86,398.8125348,68.48394486,101.5625,11.328125,353.125,37.890625
87,-79.31246523,95.35894486,101.5625,11.328125,353.125,37.890625
88,247.4062848,-193.5473051,101.5625,11.328125,353.125,37.890625
89,406.7812848,-274.1723051,101.5625,11.328125,353.125,37.890625
90,88.03128477,-220.4223051,101.5625,11.328125,353.125,37.890625
91,215.5312848,-112.9223051,101.5625,11.328125,353.125,37.890625
92,-39.46871523,102.0776949,101.5625,11.328125,353.125,37.890625
93,72.09378477,8.015194855,101.5625,11.328125,353.125,37.890625
94,135.8437848,-260.7348051,101.5625,11.328125,353.125,37.890625
95,231.4687848,34.89019486,101.5625,11.328125,353.125,37.890625
96,103.9687848,142.3901949,101.5625,11.328125,353.125,37.890625
97,-91.26559023,-190.1879301,101.5625,11.328125,353.125,37.890625
98,291.2344098,-82.68793014,101.5625,11.328125,353.125,37.890625
99,327.8408551,-152.6049223,101.5625,11.328125,353.125,37.890625
